dihedral_deg,energy_kJmol
-1.773400753593606396e+02,1.362308411410429798e+01
1.736345845838467596e+02,2.312584524884878334e+01
1.744675854384989009e+02,1.589543994258684378e+01
-1.713177427173167757e+02,2.004260735127650150e+01
-1.734952319018399862e+02,2.984733090767446129e+01
1.661374611717978098e+02,2.554516547078308975e+01
1.758282841180221112e+02,2.372154244630154452e+01
-1.650381809895399954e+02,2.318723759408592855e+01
1.694333928409901944e+02,1.683099612405538537e+01
1.651210486804245363e+02,3.927743338226044045e+01
4.914387061465701123e+01,2.749775762075930530e+01
2.380849495642123514e+01,4.362805550181847991e+01
9.254908381152094421e+01,2.188412301807511540e+01
1.636117439976115406e+02,1.779982981830468702e+01
-1.508802937008797755e+02,3.159735087684788368e+01
1.732487746325800231e+02,2.194309348191077547e+01
1.577778913762397792e+02,1.967170305094337834e+01
-1.396742767792327697e+02,2.040538431144186760e+01
-1.787149779459689114e+02,2.279981134678866539e+01
1.711203951627268793e+02,1.873679114881531405e+01
1.344960169186852852e+02,1.746910293178849116e+01
1.697391741251852579e+02,1.119815605585503704e+01
-1.492461764145055554e+02,1.193955230213231289e+01
1.583573984635292504e+02,1.330047779551437159e+01
-1.630094011596893608e+02,2.374176050426106244e+01
1.749514830574308917e+02,2.815307828838729876e+01
1.713835777597588219e+02,3.648192473295063110e+01
-1.734803312523052057e+02,2.275592517997218778e+01
-1.605372426662477494e+02,2.945580002056205871e+01
1.500030876732942886e+02,2.131256284554433122e+01
-1.317057457135551601e+02,4.580081027713072217e+01
1.744484405230487880e+02,2.525963720094829057e+01
1.344642539595063226e+02,3.190788809069243825e+01
1.658661511240474908e+02,5.339129608930952742e+01
-1.476359531907441465e+02,3.265439076966962517e+01
-1.666939711880879429e+02,3.266527322288871460e+01
1.368318941964714099e+02,3.088540335848371399e+01
1.615791967901608928e+02,4.081419693987910335e+01
-1.385175707958125884e+02,3.092399424698060884e+01
-1.497468829999549769e+02,3.577604924657578067e+01
1.607843213513650937e+02,3.264722476772853810e+01
-1.604232858951995127e+02,1.742791089359157297e+01
-1.747279336482817769e+02,2.927800179152540494e+01
1.496050662268744418e+02,1.604404768221206368e+01
-1.553166309475448656e+02,1.671429608029394842e+01
-1.714480724192832497e+02,2.134609924246849744e+01
1.745599779331834611e+02,1.591815717880920289e+01
1.769477292614938051e+02,1.590015063884406032e+01
-1.617933560319892479e+02,2.091563898589667048e+01
1.784794643563309648e+02,1.567795406734375874e+01
-5.044759536465583949e+01,1.358523296410091774e+01
-8.687174342752166467e+01,3.500620392072023890e+01
-2.174227172132632901e+01,2.156386631082292027e+01
-5.655163913054798286e+01,2.980996026840678326e+01
-4.917028940709931817e+01,1.565765710538169486e+01
-5.300507925124583863e+01,2.230718140067117616e+01
-8.380775671072069599e+01,1.634022265027493503e+01
-5.480881262569313606e+01,1.909440844597254383e+01
-8.116378134753476559e+01,1.117006162932469238e+01
-6.269427769846764420e+01,1.767571315421048439e+01
1.749007359360692533e+02,1.643777597789419431e+01
1.778571524613552128e+02,1.827996183744160419e+01
-1.721611816178124172e+02,2.272777511441097431e+01
-1.671031571030399903e+02,3.329738546002505473e+01
-1.694164466710398074e+02,2.161843757016148970e+01
-1.746585539977425299e+02,2.068418602443000864e+01
-1.753068762671534557e+02,1.216316867285201297e+01
1.640804988231766117e+02,1.954766448020016867e+01
1.762570891146773988e+02,7.230427548986549269e+00
-1.781005748736814951e+02,7.394976717013463485e+00
-1.706599344688227688e+02,2.130599222343790444e+01
1.792831109042438982e+02,1.402718700575317712e+01
1.719622618509577308e+02,2.144087836139225800e+01
-1.738951691755005982e+02,1.544981021318314518e+01
-1.710891765116452348e+02,2.158900424169841159e+01
1.697561221624432903e+02,1.549903986409000112e+01
-1.604523227227039399e+02,1.451366176544302711e+01
1.739249589624868122e+02,9.424563536491112004e+00
1.731865111784509850e+02,1.696778515282239397e+01
-1.602926145784324774e+02,2.338827969535019591e+01
1.739669400482948731e+02,1.632654417869880348e+01
-1.781047623598180962e+02,1.822720110180449282e+01
1.647700693328513921e+02,1.714618383977302329e+01
1.685562520567280842e+02,1.434793958890547039e+01
-1.784866167203477971e+02,1.480693425217640424e+01
1.706553702589190777e+02,1.190276433779584409e+01
1.681622751900729327e+02,2.014998347696813141e+01
-1.680708668237123220e+02,1.547025521887481858e+01
1.669716664793040763e+02,1.704933883793901472e+01
-1.749177320813800236e+02,1.330321208379561426e+01
1.385770935503978762e+02,3.710570726610187364e+01
1.731672462496701428e+02,2.904137078468792765e+01
-1.668428718700340312e+02,3.826191569067016474e+01
1.654982454421134435e+02,3.369159116399279696e+01
-1.759640921858737954e+02,3.370010809531061113e+01
1.760926268618188999e+02,1.478383474668236275e+01
-1.740567307269420780e+02,1.673142135447562850e+01
-1.746647050162957555e+02,2.343778725555890574e+01
1.763225462121953058e+02,3.087621098597242764e+01
-1.645431124576857655e+02,1.615556531977306776e+01
-6.705878654742646461e+01,1.302380394215038173e+01
-5.335386095780949489e+01,1.262774778037894663e+01
-5.454018119970180578e+01,1.465220766515212070e+01
-5.371573519081496784e+01,1.497129867628201438e+01
-5.587837743981083349e+01,2.050145465982694049e+01
-5.284068763954250869e+01,2.340778236108153010e+01
-4.785368366974577015e+01,1.575927612136144518e+01
-7.405041247821007744e+01,1.317878859618399190e+01
-6.045872908104848875e+01,1.820596138522373764e+01
-6.338281332607832042e+01,2.060748951095224868e+01
8.269920855279818284e+01,4.257627081857030760e+01
6.504557439429945020e+01,3.399760847069518377e+01
6.877960871493517914e+01,1.670737135714173149e+01
5.295055751952096301e+01,2.148180491653477731e+01
6.878274149154231054e+01,2.448570699376462656e+01
7.886794650685480690e+01,2.079566192904490407e+01
5.723074850110571532e+01,3.080848040496375617e+01
6.911779514651088618e+01,1.560130582053625403e+01
7.687671223757561734e+01,1.379146512843553296e+01
6.353458316709409814e+01,1.202620169236560521e+01
8.155484161042278402e+01,1.588953381954028288e+01
6.510368250389439027e+01,1.668764828698810732e+01
4.415704375584892460e+01,2.307255285218609941e+01
6.611962175872773173e+01,2.781543659031251536e+01
2.403462895993331472e+01,2.778708608487733756e+01
6.517466138907960271e+01,1.938278408847095591e+01
6.711677819088045283e+01,1.360733487421680721e+01
5.299085417501216000e+01,1.248593564108856313e+01
1.025464738305037997e+02,2.392029594860211716e+01
6.622413206827063448e+01,2.116361417943830503e+01
5.308353559095810681e+01,2.761038554126412237e+01
9.440164299020791816e+01,3.039648299438078283e+01
4.524412925652386264e+01,1.913450762609687317e+01
4.759566569133061620e+01,1.933152524560549068e+01
1.469389902591430541e+02,2.179972985904607796e+01
-1.236559463518434541e+02,2.447739130183889955e+01
-1.258297096579641732e+02,2.677560399568698202e+01
1.735952955636326180e+02,2.109098069969883582e+01
1.402876706335676431e+02,3.398162540137438725e+01
1.787686247725265503e+02,2.327642771155556289e+01
-1.751720540379106694e+02,9.200974453947360132e+00
1.742943219063664912e+02,1.030396798152727023e+01
-1.736393008349159004e+02,1.414588382025946700e+01
1.762386130755863292e+02,2.403515618851114510e+01
1.755220902424109397e+02,1.426569108898477722e+01
-1.793290141160119902e+02,1.209301160850550261e+01
-1.794012107400781701e+02,1.561176561987947764e+01
1.637543131150497970e+02,7.851240084725816359e+00
1.769174364427894375e+02,1.121085430929810656e+01
1.698065956387968640e+02,1.249833155691404230e+01
4.482849277501502172e+01,2.293936556904556667e+01
7.391722834958694932e+01,2.873373652095730435e+01
3.139784049915291320e+01,3.288226446847617979e+01
