dihedral_deg,energy_kJmol
-1.782698922881500607e+02,6.364467645876402457e+00
-1.764222873938861369e+02,1.062841980660625651e+01
1.638586124310241701e+02,1.289809833066641431e+01
-1.743631696513111251e+02,7.968240161722945913e+00
1.727690862907919040e+02,9.435486395844053575e+00
-1.633527103798272719e+02,1.112920971232149014e+01
1.623305631229287940e+02,8.265718302164620113e+00
-1.602654377086379895e+02,1.374897275075331038e+01
1.685364667039799826e+02,7.733952340081119203e+00
-1.739021671786219372e+02,1.668145360147671497e+01
7.444968644830719029e+01,3.854333373317045641e+01
6.018449572738953179e+01,3.614802324354263874e+01
6.103625870436499667e+01,3.342548837820519481e+01
8.187396211442197114e+01,3.470020297267501519e+01
9.512499591777601893e+01,4.584121509985523346e+01
4.682375841055101517e+01,4.723595060453997263e+01
6.433804394188187814e+01,4.560095246308902972e+01
7.185508033687132468e+01,5.173320270176945002e+01
7.055150393180885260e+01,4.666571391290509041e+01
4.680819216476735534e+01,5.394314757186566567e+01
1.793797543861082318e+02,9.858625926178685717e+00
1.790153991631763688e+02,1.058128192890857555e+01
-1.742864655311144020e+02,2.187205276278382371e+01
1.546123473910381279e+02,1.223529960887421986e+01
-1.561196560380250844e+02,2.510939202754619259e+01
1.757198837080860585e+02,3.455248119952256047e+01
-1.614853656959950285e+02,1.037635145855363739e+01
1.193223740902306815e+02,2.886545140324285796e+01
3.762483583455349390e+01,2.185573613339907695e+01
6.070374047339350909e+01,1.680062282455099165e+01
1.666604968501671920e+02,2.674548757977436608e+01
-1.666763026177396512e+02,2.106194250654685618e+01
-1.632518150505159440e+02,2.025186576550743212e+01
1.587802231675557607e+02,2.356709302072528800e+01
1.165011506708352869e+02,3.107829329814665797e+01
6.083757137779691249e+01,2.032358793971085120e+01
4.968502662635315659e+01,3.027936214827438732e+01
1.051623332294501125e+02,2.231115978946371570e+01
5.777027065494499425e+01,1.680715621863962994e+01
6.665274106170224400e+01,2.853156413839954197e+01
1.790750693229236958e+02,2.969206412764264869e+01
1.796052888246865678e+02,2.149040588738030522e+01
-1.624575739940694632e+02,1.840886241972758341e+01
1.512687739696758058e+02,2.572525757823811077e+01
-1.561831619408698089e+02,3.402771213124367478e+01
-1.228504088094689308e+02,2.280624190198542678e+01
1.660921629655370850e+02,1.553362170423161004e+01
5.146830497186793707e+01,2.789825155753357677e+01
4.902698162918641600e+01,2.352840763309519545e+01
1.172351693273952975e+02,2.793611906985491444e+01
1.042039041171042868e+02,2.827405874759976001e+01
1.394904253639501519e+02,1.935054906771076944e+01
-1.375682044316341717e+02,2.545412706716154005e+01
-1.273656306613282680e+02,3.478837084633488530e+01
-1.189429607161995506e+02,2.565734026025529602e+01
-9.267749776752981461e+01,2.836010166206559546e+01
-5.201590565139546385e+01,1.836233572293305372e+01
-7.788649133369285948e+01,2.414395446663892386e+01
-5.815451070699363356e+01,2.491621369136671760e+01
-8.268817481340576592e+01,3.478404912761081391e+01
1.651811447436287494e+02,2.261415480395832489e+01
-1.759489724471560805e+02,1.934720605595198606e+01
-1.677331084453434187e+02,1.340083431311296458e+01
1.702398831570732511e+02,1.280543103882145139e+01
1.708063269836848974e+02,1.483266375832982042e+01
-1.591950398893278305e+02,2.111613585269848770e+01
1.760133754962600108e+02,1.927645585971546893e+01
1.752605783889456745e+02,1.969260445358489164e+01
1.785622089768662022e+02,3.412821494216171914e+01
1.720227691895950102e+02,2.957058030833072237e+01
-1.177685406602399780e+02,3.275598978014846097e+01
1.742632586788047035e+02,2.423868216945309229e+01
1.529316568311609217e+02,2.933478323829020695e+01
-1.647247401488699552e+02,3.234860783666535156e+01
1.669239308163423345e+02,3.826405747223876119e+01
-1.518677009034623211e+02,2.952195560914935868e+01
1.618463692961261700e+02,2.920415768658106970e+01
1.768595827020493516e+02,1.356061229289787740e+01
-1.704952885326848673e+02,4.667418691537776709e+01
-1.722186528394222194e+02,3.359053556908204996e+01
-1.772389413156113278e+02,1.443235860395276760e+01
1.539121787289889483e+02,2.556646818858406078e+01
-1.692510285302069235e+02,3.264272459266667425e+01
1.741370356393111365e+02,4.264289396797537535e+01
-1.640319924131198945e+02,2.672433203492837706e+01
1.744494594695501064e+02,2.953992145546772718e+01
-1.791233868592077840e+02,3.663835163169424902e+01
-1.739605864546283271e+02,3.783535262214468275e+01
1.722917197267652227e+02,2.466722259660447492e+01
-1.595905790982055237e+02,2.698921183512889499e+01
-1.796778854049226197e+02,3.660960149617047676e+01
1.702313547460759935e+02,3.517180141876835364e+01
-1.704116320597022423e+02,4.458762571591971380e+01
-1.704362547349264219e+02,3.019734045290471869e+01
1.764385691768445952e+02,4.496346993380434753e+01
-1.723171985214823678e+02,4.100727766637294991e+01
-1.699794584100842201e+02,2.841656626498659222e+01
1.239361708976599346e+02,3.004569608459974361e+01
1.326181054810334956e+02,3.735996436340954574e+01
1.797775713456530866e+02,1.922630848010828686e+01
1.798304072927058428e+02,2.877116148119063865e+01
-1.774513173152547552e+02,7.130901032419509455e+00
1.526527224625014867e+02,2.755123361434932860e+01
-1.646418089649955903e+02,9.963067470127271008e+00
1.645841445308275013e+02,1.303359016709794638e+01
1.761338570363290614e+02,6.334122002583308486e+00
-1.690502333664340142e+02,1.102108347368734442e+01
1.621368017429925033e+02,1.361205369625250761e+01
-1.708323489667086506e+02,2.200807487086365910e+01
1.728934002624457946e+02,1.409195484393780440e+01
8.477207598022627622e+01,2.279194766119956483e+01
8.166899162632572029e+01,2.861354369328924463e+01
5.405245124280249769e+01,2.501789309207901013e+01
6.089364855384914677e+01,2.269003027388804483e+01
8.627390845420981691e+01,2.372411089646102766e+01
8.656358265167654054e+01,2.880620418924502246e+01
2.971777597713003161e+01,2.271841707050651138e+01
7.309383935462706461e+01,1.675306210027116194e+01
7.902485288958416731e+01,3.151019203341507335e+01
4.468277313323157784e+01,2.241728102368466224e+01
