dihedral_deg,energy_kJmol
-1.743069278922940839e+02,2.103258887762536222e+00
1.761998803642647715e+02,1.366698540780911308e+01
-1.640312183856918580e+02,1.919373074757208641e+01
1.702109170945018946e+02,1.567261639380375016e+01
-1.784942436032122828e+02,1.003827232549656934e+01
-1.783146820607260281e+02,1.318202213797507127e+01
1.762345184896302612e+02,1.063025534635618818e+01
1.725308114165062250e+02,1.815742237363398903e+00
1.750983118829118155e+02,1.359266185111866321e+01
-1.782589315015920874e+02,1.378290873546031925e+01
-1.707805560569089209e+02,1.591262770448409825e+01
1.660153182949788402e+02,2.179288010538654063e+01
-1.560859612418368840e+02,3.250291862588585445e+01
1.650872537151842891e+02,2.263242130202221603e+01
1.597345878204725693e+02,2.450858863818703171e+01
-1.460228222738285524e+02,2.383210519153645990e+01
1.710318280078166993e+02,1.676847385921435318e+01
1.354926574790019913e+02,2.501374389906743545e+01
1.688241635797506888e+02,1.609454721785443354e+01
-1.577291470593305576e+02,1.668001830158405951e+01
1.764477664472240406e+02,7.025370919624498889e+00
-1.627015776726478293e+02,2.440884057961244835e+01
1.738670226744206673e+02,1.768576888386847656e+01
-1.675108760453595380e+02,3.027232506842551274e+01
1.709229936871487041e+02,1.939709401573837866e+01
-1.730815270401556347e+02,2.893623564890854283e+01
1.690939951799965684e+02,1.001304329516295333e+01
-1.703739001243296229e+02,1.613528416462423820e+01
1.738995216379242947e+02,1.469558959767818251e+01
-1.731413958643859701e+02,1.993464646134891183e+01
-1.554909864384876812e+02,3.098814819808955789e+01
1.685632842921417023e+02,1.885767588952635521e+01
-1.795343929414876811e+02,2.267384996594724100e+01
-1.746952432873441410e+02,2.627542703039258498e+01
-1.796240216991024852e+02,1.973403605028632057e+01
-1.781664317929071331e+02,1.350679390307043981e+01
-1.734636576612847421e+02,1.748835449971391043e+01
1.544471466160175055e+02,2.284750447250071659e+01
-1.633098987135726361e+02,1.965126465464439320e+01
1.746655716561498650e+02,1.855728638971054778e+01
1.756114852363462830e+02,1.173874354789541741e+01
-1.713572113477147809e+02,1.480605173772579519e+01
-1.793543825588101868e+02,8.349968263012804925e+00
1.784268378425138053e+02,2.104970802799651608e+01
-1.769223135008629413e+02,1.205562835524428955e+01
1.755354947648363009e+02,1.700899492561733695e+01
-1.750065652721224012e+02,5.495036104859973847e+00
1.478147722079344248e+02,2.179598268481780821e+01
-1.700854913365088805e+02,1.968961571027069368e+01
1.728498552967151056e+02,1.997587474071143276e+01
6.192310121496618791e+01,1.671617238242564341e+01
7.362268021091234971e+01,1.169040618136245158e+01
8.708035797398670752e+01,3.088224192480800312e+01
4.797096050512111276e+01,3.881525857267953938e+01
6.417857036695701822e+01,1.907674864804512183e+01
7.649088159133734166e+01,2.001556501193587678e+01
3.039072249035899276e+01,2.732918829092643875e+01
7.268704141961883636e+01,3.956540556414337573e+01
4.505231589567952710e+01,2.559259009390402539e+01
5.414969410800762262e+01,2.035389454881715210e+01
-1.609998873578774976e+02,2.981124581139236795e+01
-1.721484924376737808e+02,2.367488468849079197e+01
1.699278612140069527e+02,2.909114610033007153e+01
-1.528651480796409317e+02,2.428073826733706397e+01
1.580460819934241385e+02,2.276712293780623142e+01
1.668730271850792803e+02,2.889867647367631065e+01
-1.486562033434909154e+02,4.031371158317902825e+01
1.743348501080846518e+02,3.200028948620187919e+01
1.547618744477500741e+02,2.375348790354775019e+01
-1.518026420339018614e+02,2.324386190868718671e+01
6.737712109541314476e+01,1.632492366858808452e+01
6.062337154922616378e+01,1.131188324424219616e+01
5.074531996218563279e+01,1.029548845570044335e+01
5.639338858847631286e+01,1.550818062740601988e+01
5.284229583609111813e+01,8.390043006233705469e+00
5.067216097895315841e+01,1.046619766480088209e+01
6.014634492233241758e+01,1.017866417829345416e+01
4.389226860198827040e+01,1.265495999407529304e+01
7.809293342263349302e+01,1.267908954279569400e+01
7.213637123716938504e+01,1.736882577075715517e+01
1.728862820355614076e+02,1.752459895258131439e+01
-1.787859402759216039e+02,2.674982061821996826e+00
-1.685482919240859871e+02,2.223065284457826962e+01
1.689757245391226377e+02,2.336621227287363212e+01
1.793796503093608692e+02,1.176086124642293029e+01
-1.757117796632835791e+02,2.693174601551699254e+01
1.676441396896107676e+02,1.499817399745612789e+01
-1.754271193038507874e+02,1.058390580171753825e+01
1.765262604948322007e+02,1.504866767451986753e+01
-1.750149136408520860e+02,7.339246012020018917e+00
1.090585067383751863e+02,3.703521292727886305e+01
2.834987384368652030e+01,3.080810542955531517e+01
5.934915612021525533e+01,3.267909393148956809e+01
1.382475962003580321e+02,6.995826332794194968e+01
-1.680498575555981802e+02,3.918278060096725568e+01
-1.333221135292128281e+02,3.751884756519609709e+01
1.779114255011176624e+02,3.432938068769755802e+01
1.570971885687562235e+02,2.220528328357816505e+01
-1.794677544068366615e+02,2.922266266448976779e+01
-1.490825073464521040e+02,3.561020174901679525e+01
-1.768995279154041782e+02,5.861445637172974621e+00
1.686183235996780923e+02,1.184394804225355813e+01
-1.786485945435328517e+02,7.752579294415440359e+00
-1.798525434999488937e+02,7.940794266206776086e+00
1.609933794748325226e+02,6.221768414840851413e+00
-1.643399606441912510e+02,7.903855508069247193e+00
1.584858754967055461e+02,8.865775345886870440e+00
-1.709943071404661907e+02,7.613704114977799975e+00
1.742131447397510158e+02,5.064697025599981473e+00
1.748778486508046512e+02,1.134597620089383341e+01
1.740355410776390670e+02,1.615901217525028954e+01
1.794143012459212230e+02,1.150170263644549884e+01
-1.763053468199927067e+02,1.892076513040558083e+01
-1.696722230954923418e+02,1.939722431782631418e+01
1.478789388434534828e+02,2.451705914601077296e+01
-1.512900099972806629e+02,3.565857723818911040e+01
1.594289972849878723e+02,1.979230682575674294e+01
1.793964478123606625e+02,1.424786384420595375e+01
-1.596402499066313965e+02,8.784219879213633675e+00
1.432394683256431165e+02,1.859181035460057885e+01
-1.729581305182424842e+02,2.708235607002079348e+01
1.448424043100466179e+02,2.397534702344559321e+01
-1.696135622190796823e+02,2.159035204677497788e+01
1.678342778143791918e+02,1.347362322795110146e+01
1.628277023196765469e+02,2.857442917359544765e+01
1.789823802200657781e+02,1.657718002455426287e+01
1.791889456813544541e+02,2.912134487302957808e+01
-1.762584316857406748e+02,2.029548911400758726e+01
1.783818649477076406e+02,1.408249640006672543e+01
1.665509573449901382e+02,2.237941012952476427e+01
1.740723742878080600e+02,6.203566100647882386e+00
1.757086738302189985e+02,1.616305549514608231e+01
1.688168952722636789e+02,1.253747723359968624e+01
-1.697198642425783532e+02,8.240660587593097830e+00
1.627108415423428767e+02,5.503416508881832314e+00
-1.571310587528854512e+02,8.750664901617664526e+00
1.577225018581802374e+02,1.271134243911312822e+01
1.567789763728829087e+02,1.182331629970023457e+01
-1.473553798768920728e+02,2.337281811099520823e+01
-1.648798045565250163e+02,1.590039522265141869e+01
