dihedral_deg,energy_kJmol
-1.686978095236044055e+02,1.244639878016801227e+01
1.692645985671394442e+02,8.523459541943674722e+00
-1.674493920995651308e+02,6.107533999236685496e+00
-1.771541503591975300e+02,2.640974726098419989e+00
1.686389942555718164e+02,4.221184998094150487e+00
-1.619445266799543219e+02,7.215913410373175907e+00
1.667515156433321977e+02,7.568453497615838188e+00
1.791227784840586139e+02,4.386420166500448303e+00
-1.763604783794728235e+02,2.223684217656379580e+00
1.779451025890433300e+02,1.090218059181488952e+00
1.792603421793476741e+02,2.280760420296247482e+00
-1.716845441999168145e+02,9.675621952287109195e+00
1.712545403404168098e+02,8.719654578255145339e+00
-1.767563348713166818e+02,7.923982944117963001e+00
1.788523636075538832e+02,6.230064980196280189e+00
-1.762969372781390689e+02,6.468238903191452671e+00
1.675828093747622631e+02,9.575968798123566827e+00
-1.637230200143234811e+02,1.242125988836070327e+01
1.631139851358771296e+02,1.344331264591380659e+01
-1.706350200744047356e+02,9.538367065977396919e+00
-1.721803091301835025e+02,9.925759903934350703e+00
1.563698173303563692e+02,1.073772124181571996e+01
-1.694647004673024924e+02,8.819524240428640027e+00
1.724871603439092382e+02,9.595611319042884446e+00
-1.775501249453683386e+02,9.670976284008913737e+00
-1.706834463977755263e+02,9.693118905601837199e+00
-1.760478488932445487e+02,5.363850059298223449e+00
-1.761066068648066505e+02,7.773378434512851598e+00
1.760328358775662991e+02,7.025728757785001832e+00
-1.719407309807245952e+02,9.003681954206140148e+00
-1.693284708013220836e+02,3.391661771889527444e+00
1.679205029696562121e+02,3.150336482671974192e+00
-1.726591451715583787e+02,2.200462993410948531e+00
-1.782673745058383190e+02,1.073137478095581354e+00
1.789975894750676275e+02,3.148128983916253176e+00
1.784257413016781300e+02,2.982237223133281656e+00
-1.733604958863739114e+02,3.914643765037500778e+00
1.727012618289997761e+02,4.801995637659876692e+00
-1.690535648931158335e+02,4.716233400922696717e+00
1.775624130554384692e+02,3.244859944731760759e+00
-1.509449468067404609e+02,1.948880053401938994e+01
1.712481523591525274e+02,1.217485623698817321e+01
-1.766725031043438889e+02,1.387106750514663034e+01
-1.684128213968827765e+02,1.746621784075804840e+01
1.795020224739372168e+02,1.345825492549166746e+01
-1.750855294562675510e+02,1.554775060451229862e+01
-1.722797928085448973e+02,8.076036750234953487e+00
-1.728557768091726814e+02,8.861975315921053920e+00
1.775236618422465256e+02,6.271465122615395238e+00
-1.770883160999979395e+02,9.691321124031619050e+00
-1.782517501727977560e+02,1.505114228749067307e+00
1.778238234281301970e+02,3.722315438277173705e+00
-1.767973859340501122e+02,2.923778415179573820e+00
-1.798900029543833057e+02,2.731576030217517825e+00
1.783232270536464910e+02,3.551361516559877529e+00
-1.754169387306659758e+02,2.182815063768555497e+00
1.708932514095689896e+02,2.208428915249674773e+00
-1.725461324124167390e+02,3.331973490654849712e+00
1.745240841922969821e+02,4.682203603198919595e+00
1.782080706879852983e+02,6.296098899752969658e+00
-6.628355866190685219e+01,1.087285571948544849e+01
-7.250626999729438182e+01,1.365321769335406898e+01
-5.655284274435929603e+01,1.415092203880588961e+01
-7.099466853509822784e+01,1.153089162203325913e+01
-6.064733421144441650e+01,1.562324298731495631e+01
-6.951927786148674215e+01,1.555722942920771601e+01
-6.678216474310912076e+01,1.670678880693287383e+01
-7.048576925131381188e+01,1.536369756934459296e+01
-5.712265240740427430e+01,1.531190064727356237e+01
-6.825140019137735692e+01,1.686830889776195264e+01
-1.766508940404135330e+02,5.314084552987185184e+00
-1.768812216947545721e+02,7.874529929300544850e+00
1.603327834753646641e+02,8.032032406761002719e+00
-1.591251980037604596e+02,1.023538038563270369e+01
1.794968594740247454e+02,9.386473476261489424e+00
1.701223976214018876e+02,8.075195859514085583e+00
-1.745796563399458421e+02,4.976344101172758272e+00
1.704844244930476975e+02,8.064639181991967831e+00
-1.709374558014154104e+02,8.833609333954278497e+00
1.777097416063010940e+02,8.527782452733141838e+00
1.775015081012003861e+02,1.198753505964128507e+01
-1.694111050625730286e+02,1.210378845246434665e+01
1.721588740719783175e+02,1.048478076837863604e+01
-1.694100366092083618e+02,9.620220622442417380e+00
1.748838902987734798e+02,1.045440776866982091e+01
-1.761687287032461597e+02,1.016402145423027292e+01
-1.678038809031171752e+02,9.609777888819337477e+00
1.758412121004312496e+02,9.780000452930661226e+00
-1.727997999505074915e+02,7.563362773580905696e+00
-1.714745216461417670e+02,1.007197330715695038e+01
-7.488987520507917850e+01,9.797092681296419414e+00
-5.382648173936089364e+01,1.051011800840405108e+01
-7.753785475168541552e+01,9.190995828005924295e+00
-6.091610458521176241e+01,1.052668230879196898e+01
-6.323497262063041546e+01,1.431080350922267286e+01
-5.975503028782600268e+01,1.333775409966392722e+01
-8.778213857114479879e+01,1.403605265716620565e+01
-4.672120467350443818e+01,1.540071314101687250e+01
-7.695923799374847363e+01,1.308392627141522979e+01
-6.138034781489108127e+01,1.495211713056090730e+01
-7.819772047640881851e+01,1.422055870112650133e+01
-5.715619807905171967e+01,1.104746403382247699e+01
-6.861544130515446227e+01,1.518205372989721802e+01
-7.066079491788515554e+01,1.462767891552950061e+01
-6.718215389559044581e+01,1.438370841213063400e+01
-4.949337577671273891e+01,1.616181145391722751e+01
-8.361323652122797512e+01,1.200596635313909033e+01
-6.815527961838422755e+01,1.282817376063220927e+01
-5.252085887460587088e+01,1.488075914340746309e+01
-6.358153552876243708e+01,7.953966822855672802e+00
-1.718500480169726927e+02,8.245013284582807245e+00
1.720819218257205705e+02,1.033401754987633581e+01
-1.735616036842950507e+02,7.791071536974254030e+00
-1.778426756313980945e+02,1.557223073130167990e+01
1.773456796045988710e+02,5.842875669588575072e+00
-1.741280411536976942e+02,1.210279000655368442e+01
1.773378474153393540e+02,9.079977703654156684e+00
-1.747719590107871852e+02,1.013229364465720828e+01
-1.746945870939046870e+02,1.480680545591532749e+01
1.652411881691242854e+02,7.514161684138914055e+00
1.757691758763950247e+02,6.975136135659800729e+00
-1.712202048194435235e+02,6.137485564241820235e+00
1.661185086056185582e+02,6.563333692681267983e+00
-1.693757999538399304e+02,3.562643629817162427e+00
1.710894341142359849e+02,2.967543730028598503e+00
-1.760962332473108347e+02,4.303848300751567990e+00
1.793555956161428924e+02,4.530991160529898920e+00
1.744144795545280431e+02,4.636471638433443232e+00
-1.795272822742615517e+02,5.269017163947964377e+00
-1.707069584858959388e+02,3.425121295430034962e+00
1.688161253190772015e+02,9.233979209223615925e+00
-1.691954620193357925e+02,5.651994375474282073e+00
-1.772342692321509219e+02,5.984788442625006866e+00
1.527272049796121962e+02,5.966220030005652042e+00
-1.539678956215414019e+02,1.276770439563741633e+01
1.626079233421515085e+02,8.148790176320442669e+00
-1.742839222239382195e+02,6.890045487079793141e+00
-1.726404369133966270e+02,7.642808092245672924e+00
1.757449406404228398e+02,9.065109667718612485e+00
-1.771076509506981154e+02,7.064521077337436950e+00
-4.136895958489025560e+01,2.705346016519918351e+01
-8.564723503085620848e+01,1.521447550008007354e+01
-5.313733608570682065e+01,2.214000571845065579e+01
-9.027660614249880666e+01,2.175301076517960297e+01
-4.341507124949666974e+01,1.644329350950344093e+01
-7.877110587368306938e+01,1.896124881680299978e+01
-8.954326367687771437e+01,1.808267850426763701e+01
-5.420558248746829122e+01,2.090668011631340661e+01
-4.327097216072918684e+01,1.777403951602401122e+01
-9.476273498130834128e+01,2.287484046556563655e+01
-7.071566048672690386e+01,1.075078515583038197e+01
-5.637860436055538571e+01,1.005042065521561412e+01
-6.475846075352404796e+01,1.081469095679394599e+01
-6.539238212417831164e+01,8.919625892851557936e+00
-6.257300301403788012e+01,1.382357588647428415e+01
-7.428322545048878567e+01,1.009031424315979741e+01
-6.376345773014025298e+01,1.021705664910401801e+01
-6.413384007883124127e+01,1.434018610140979710e+01
-6.347534568689266621e+01,1.174054645316005185e+01
-7.956975772692089777e+01,1.252146272146049810e+01
1.761015835686934849e+02,8.464961416353663282e+00
-1.777997915586789475e+02,4.832915714931254492e+00
-1.660664715662576043e+02,1.076799923344953314e+01
1.664269960160900155e+02,1.459670763608454536e+01
-1.759380734406567512e+02,2.154375027410919330e+01
1.746294792074469058e+02,1.440679476295628803e+01
1.728483075836640808e+02,1.487022927210148282e+01
1.778117602424432846e+02,5.070195535081600369e+00
-1.725969595381883721e+02,9.522213743744931236e+00
1.738526570262630173e+02,1.120821724688641297e+01
-7.182183570921252169e+01,8.773646249869289093e+00
-6.077324246860445101e+01,9.176315865561690543e+00
-6.411116105958903688e+01,8.514861311845125513e+00
-8.254936119422575302e+01,8.668134410706299420e+00
-5.342686720675004608e+01,1.102710624839101250e+01
-7.474821609080228768e+01,1.274940969631365206e+01
-5.881656831701751997e+01,5.950048043146023424e+00
-6.639685690461895717e+01,1.222299679804905637e+01
-7.451075358379793556e+01,1.202710665488111630e+01
-5.982295329715751109e+01,9.994283360763830615e+00
-6.807509955042793592e+01,2.154307973911893015e+01
-6.769928434473177958e+01,2.077497129541400156e+01
-5.803473074559664724e+01,1.887982122250192063e+01
-7.545628701209568590e+01,2.362957208224394634e+01
-6.000577159254983428e+01,1.449528944814804099e+01
-7.327343799066778729e+01,2.025781985116518769e+01
-5.659392827588244046e+01,1.788820708313438246e+01
-7.733043209999685530e+01,1.840607280949697611e+01
-5.177353453421203255e+01,1.602187470437663563e+01
-6.532530597008685902e+01,1.294295853603983204e+01
-1.792385905180152861e+02,6.833384873121055136e+00
1.780615981697930863e+02,4.407991040664374083e+00
1.738474192638047100e+02,7.973154157359399363e+00
-1.781525820560084981e+02,7.032851678697041642e+00
-1.791519417422829576e+02,4.507612619008570576e+00
1.776506834732896607e+02,4.050436263524176184e+00
-1.736940238111379813e+02,7.131614024676396824e+00
-1.788259879942606005e+02,8.726079188237392259e+00
1.772694609963376138e+02,6.677820013868843496e+00
-1.750141476169038128e+02,6.732971455885932599e+00
-1.788239112302216256e+02,5.198688049113342480e+00
-1.759426725885420808e+02,6.772005410171212603e+00
1.789471051963495256e+02,3.789757261028420032e+00
1.780757363574473402e+02,3.929616766798085692e+00
-1.753839679397684108e+02,4.126016743195091152e+00
1.718377834948203144e+02,1.686456646836779427e+00
-1.731491409370850079e+02,2.780565095853766877e+00
1.768506303274397453e+02,1.797459381875800677e+00
1.794153041032083706e+02,1.782033663494897890e+00
-1.751539100416415238e+02,3.367406121688567566e+00
1.764996499883908143e+02,2.989841350083870086e+00
-1.749313646022396824e+02,2.871376459846710638e+00
1.775498796479173507e+02,2.310240335216948715e+00
-1.738903557076382356e+02,2.167290788856187422e+00
1.761348726349099820e+02,4.178478048355448671e+00
1.722071101264576214e+02,3.112103451864147718e+00
-1.775661573900602832e+02,2.668687338112453400e+00
1.763220856063641122e+02,1.018798083635390483e+00
1.793987634246110190e+02,1.501881175112649958e+00
-1.710248716263235167e+02,3.003430937381040611e+00
1.731895991966144095e+02,1.883603151255200103e+01
-1.644472075781708043e+02,1.673007712940219349e+01
1.628887664541066442e+02,1.631381263902167689e+01
-1.586778995455040615e+02,7.904459034449940802e+00
1.514470884658154546e+02,1.381797483210687361e+01
-1.660673783694851409e+02,5.590429875596283793e+00
1.723601525102679943e+02,6.917465790032675699e+00
-1.756085340782106243e+02,2.902694976541801530e+00
-1.668552740149408464e+02,5.597667147331935489e+00
1.757836719545299786e+02,7.224687787716555398e+00
-6.900695583533432398e+01,8.301592790914655851e+00
-6.175618710035321612e+01,8.901241945164692027e+00
-7.042565597409065958e+01,7.945642838797660090e+00
-6.672774707006328754e+01,9.869339868862613940e+00
-6.271834059638327119e+01,9.375023238004679627e+00
-6.709331869764402256e+01,9.516400608001056582e+00
-6.546498282264126090e+01,9.397879033862139408e+00
-6.563971343013704995e+01,8.070047318031784656e+00
-6.926900392817233865e+01,7.611952011920056549e+00
-6.844584881256555775e+01,8.708008920156956378e+00
-1.666640992165223452e+02,1.325462177066343372e+01
1.442492589522016999e+02,2.441369019476503510e+01
-1.623723704520472495e+02,1.785261955891320085e+01
-1.574464219975217532e+02,1.940441279919703987e+01
1.588723245001795306e+02,2.213402122265842564e+01
-1.747139639763856849e+02,6.594039362899989598e+00
-1.575512956301548400e+02,2.049695591493703972e+01
1.591491291885925818e+02,1.390162077311740063e+01
1.781875402669555797e+02,1.129424859459950170e+01
-1.674285571282960063e+02,1.540226017158197891e+01
-1.700936433412768451e+02,4.871959747963956033e+00
1.628577761394900847e+02,5.896324792198146980e+00
-1.548954307468990521e+02,8.386449260988563026e+00
1.682079313189510970e+02,4.080376463613291982e+00
-1.799661766961284286e+02,6.597842719537851508e+00
1.790467471834639639e+02,9.676611763486604900e+00
1.777860118788313173e+02,6.247256983055336832e+00
1.799881176248652253e+02,4.148470378682723059e+00
-1.652152452130731035e+02,4.399073082616914654e+00
1.640878666554180541e+02,7.834673224203113406e+00
1.691269843383038562e+02,1.027931971825809043e+01
-1.797117486136007187e+02,8.530306919290364220e+00
-1.704536943264726290e+02,4.860670880479046829e+00
1.660985186784183441e+02,7.084372828239175135e+00
-1.654972114649347077e+02,8.571814843610548351e+00
-1.784149087099896178e+02,9.818669570963486137e+00
1.708866795307694701e+02,1.294018857460410743e+01
-1.682829663729579579e+02,9.788772575523360331e+00
-1.784660217471987380e+02,7.765380816307594358e+00
1.755076439368078240e+02,7.009054845783694532e+00
1.796139937249936054e+02,8.095584630577970842e+00
1.799469129861012391e+02,9.137693393173549339e+00
1.737638662928093254e+02,7.006045029678490188e+00
-1.705085764111377955e+02,7.232468661187759551e+00
1.784129150136276678e+02,5.919351060875532866e+00
1.679447128462559533e+02,7.857198110447475514e+00
-1.624515677046331064e+02,1.017465653607790443e+01
1.634646303400264458e+02,8.060120141669077753e+00
-1.763902220012251973e+02,7.093301804079841233e+00
-1.686044865580709597e+02,6.411642805078541230e+00
6.074943972717999685e+01,7.623611216470813190e+00
6.172881833945011465e+01,6.356275448320055865e+00
6.467348144720322978e+01,7.658650253220860904e+00
6.853707236189458740e+01,1.119803709012480297e+01
7.213038035161365258e+01,1.365919590913745019e+01
7.268963418320100800e+01,1.190972739146419102e+01
7.282722532299726481e+01,9.107130798347915501e+00
7.410284040371985270e+01,1.407168157403377506e+01
6.085244035242963889e+01,5.904205610970620910e+00
6.135089702277181800e+01,1.247975780800967271e+01
1.776802915069479241e+02,1.058445578611214088e+01
-1.771414580466008033e+02,1.362166647577992862e+01
1.791128181220985596e+02,1.066944637473643098e+01
1.761619906120665462e+02,1.336331410959552457e+01
-1.716509316656778310e+02,6.437827763327208075e+00
-1.791995577180598787e+02,1.154259626173218578e+01
-1.795281960795938119e+02,5.871245414953947694e+00
-1.746490437631119619e+02,1.055589422293559210e+01
-1.795650973097054646e+02,4.911499529574522072e+00
1.763733728938031788e+02,7.277211770745845243e+00
5.900860496354123796e+01,1.251923411071359560e+01
6.687558823847248846e+01,8.479829704607086072e+00
6.727148365848802314e+01,1.186477101881442842e+01
5.861039614248569052e+01,1.044844922411709476e+01
7.887471468717899370e+01,1.119886553841024934e+01
4.894748915912418141e+01,8.441173474836524804e+00
6.121029086188055857e+01,1.281427019855858340e+01
5.518965778994177640e+01,1.665823522081290875e+01
4.848623193929962127e+01,1.231061984680182952e+01
6.897125507083157459e+01,1.168530557642583645e+01
5.460803677588866378e+01,5.187791840035684388e+00
6.223462986160642885e+01,5.918876623135759019e+00
5.384816545839689184e+01,4.443988214157267969e+00
7.428853668971821378e+01,5.997029874180014097e+00
5.611309061312327628e+01,5.542496620852823241e+00
7.128805172455061268e+01,5.120557856284612797e+00
6.909606233631782857e+01,5.200377057715916962e+00
6.330964124832703277e+01,6.163829843749359938e+00
7.429078579583413955e+01,5.371530463750439743e+00
5.145682545663648710e+01,7.165164714612853203e+00
-1.689570775224760837e+02,4.624521954965973514e+00
1.770210370452788311e+02,2.309092692608246011e+00
1.764919953151793095e+02,5.241790106945767747e+00
-1.787604210514226395e+02,2.059093851901391492e+00
1.708601001217941189e+02,7.188091474056577113e+00
-1.721227498596656176e+02,5.577014874580211057e+00
1.784751033687772690e+02,8.682336840663756661e+00
1.765252836771852571e+02,1.072390210736949534e+01
-1.731148067016376046e+02,9.203091635246718027e+00
1.711252274277999845e+02,9.095656872587250419e+00
7.375775868198599028e+01,8.980704958528802351e+00
6.214519800333206945e+01,5.344120904736837652e+00
5.763130826647140026e+01,6.177545858776023024e+00
7.739167233829286374e+01,6.514408439284348873e+00
5.451021690560720856e+01,1.103784123991268018e+01
7.158475885735569477e+01,6.158782376977181450e+00
6.872798876579869898e+01,7.368500272777195548e+00
6.523314488625506158e+01,7.454003633884253688e+00
8.077475055676222837e+01,8.192068292238499083e+00
5.452123429773803309e+01,6.566163245581059016e+00
6.756380918653140100e+01,1.200600951439509601e+01
5.747228237850445964e+01,1.413895027104356039e+01
6.511946679034628005e+01,1.294613513221512946e+01
7.285857906770799275e+01,1.287477646585676538e+01
5.768044700983842432e+01,1.069409097455399582e+01
7.233139062659860485e+01,1.543703841911614560e+01
6.277817298135991564e+01,1.237228239429874677e+01
6.963964566766368591e+01,1.262679062797606200e+01
6.164997823682784883e+01,1.458204841842802324e+01
7.134939065104286726e+01,1.645416341293352858e+01
1.688906393631786216e+02,7.438309777237599008e+00
-1.723583939587168459e+02,9.733199336610674379e+00
1.688327083319965993e+02,4.104394096458812591e+00
-1.716599947243595636e+02,3.222804020570820160e+00
1.701692224844670136e+02,5.465211963523898930e+00
-1.691813937955878941e+02,7.248570918501854976e+00
1.634756221950699171e+02,1.077613165795800754e+01
-1.586499651049440160e+02,9.496430732003634745e+00
-1.753619396473522158e+02,5.637289446424910366e+00
1.637701185462672413e+02,7.228985094616280804e+00
4.989534294019241401e+01,1.113341845479823888e+01
6.595869858936760011e+01,1.068945372104035130e+01
6.711594470806690538e+01,1.204026133062076198e+01
6.535881909416438873e+01,8.877978500847101273e+00
6.817022290732209910e+01,1.162117928567068859e+01
6.244128264894255409e+01,1.286574408334584518e+01
