dihedral_deg,energy_kJmol
1.695859287616173674e+02,6.066465448480450107e+00
-1.687300038732814755e+02,5.789723999803250365e+00
1.686706551382309556e+02,1.066102244453878356e+01
-1.693706150796665781e+02,1.801666838150704919e+01
1.759563954035224072e+02,1.056133180221372037e+01
1.779858008210622415e+02,1.066684085226763301e+01
-1.671361240996079403e+02,1.112753822737357545e+01
1.553470243024752904e+02,1.711009904691374217e+01
-1.706841127135151339e+02,1.454755474418257322e+01
1.721203857613506614e+02,1.334306616298025006e+01
1.785613984875837446e+02,1.154741475909213655e+01
1.701849284967353526e+02,2.055162890522346331e+01
1.795190723412633531e+02,2.017430198588298396e+01
-1.689097189028721857e+02,2.399517003011816740e+01
1.753548984794689147e+02,1.543504712199830564e+01
1.753484102091442480e+02,1.727638673546754333e+01
-1.578147858847790985e+02,1.109752555380271843e+01
1.685084624026973756e+02,3.002348415544131299e+01
-1.715912374986763496e+02,7.940381554281390919e+00
1.659272922465037823e+02,2.861214975561992091e+01
1.753303200748676716e+02,1.290119661765309012e+01
1.606066196555387933e+02,2.137105628402360935e+01
-1.733971319742082642e+02,2.080354520725904877e+01
1.715159407364002959e+02,1.705413415373575958e+01
1.754870859149675653e+02,2.982850815111654796e+01
-1.744059835730580801e+02,2.266865511136884948e+01
1.715394068742995159e+02,3.970721007277165171e+01
1.686369746293186438e+02,2.574129896426918407e+01
-1.641219945515301788e+02,3.634303751409851913e+01
1.717457198728774870e+02,1.800573897217446273e+01
1.783763348729343079e+02,1.481173872107622103e+01
-1.745153693867190157e+02,2.428191879575714296e+01
-1.772944228899757775e+02,7.359604093012827697e+00
1.678016277070764204e+02,1.152685709577900752e+01
-1.713622828449939277e+02,9.698103446146356887e+00
1.783363354744147671e+02,1.298277987498367381e+01
1.729466513395973664e+02,1.748592439593944903e+01
-1.733840567484105577e+02,2.480341302288386629e+01
1.607942719223273969e+02,2.152559996928479791e+01
-1.587507821954815483e+02,1.577805119834992098e+01
1.441358935661645830e+02,1.998972016208278646e+01
-1.636072471999723064e+02,1.191510106550951065e+01
1.590936397600518717e+02,1.165523970131293297e+01
-1.678514032237950175e+02,2.012542907052465324e+01
-1.554575556723633269e+02,2.636980498072752610e+01
1.510397904327903404e+02,1.456770161045108836e+01
1.519635771640529072e+02,2.896207449969596226e+01
-1.490719936296336243e+02,2.496765304565770549e+01
1.517291146149435690e+02,2.944560923301877153e+01
1.579796992468298527e+02,2.658800143594968901e+01
-1.750103559442379435e+02,1.025573627547001720e+01
1.728245443030126296e+02,1.687744963437828005e+01
1.771599197678019095e+02,1.338872795424052597e+01
1.795243961807782398e+02,2.310550886975733675e+01
1.701058938010300210e+02,2.323360748455343128e+01
-1.670254068399561334e+02,2.402691774443214001e+01
1.682127998012202283e+02,2.113442895890069195e+01
-1.698001286106335499e+02,1.672549313095399270e+01
-1.520572288935279346e+02,2.272589839186147742e+01
1.535766328360038244e+02,2.158958923859804457e+01
6.924510568800313592e+01,1.463321242631430508e+01
5.153828125855102371e+01,2.197688831116820296e+01
6.039308209490436496e+01,1.753896401647251579e+01
5.426379093749350346e+01,1.951633779216993503e+01
6.546159179087341329e+01,2.915742939122655741e+01
5.661831365407180527e+01,2.477906085081362164e+01
5.898019712108266077e+01,1.299719278839059911e+01
4.998518045244005492e+01,3.734388483459304098e+01
4.884036885298886688e+01,3.261677191158058520e+01
5.137524990991613549e+01,2.801990907534678144e+01
1.657491917037913822e+02,7.922015929887590957e+00
1.777983136939736255e+02,1.407391316622380373e+01
1.679799748478739048e+02,8.412210922637845201e+00
-1.621180704809402187e+02,1.452996220996378973e+01
1.467364032108202423e+02,2.385732843319501484e+01
-1.664335866519644469e+02,1.586790887706015951e+01
1.703864512693718041e+02,2.226464725723598903e+01
-1.731064082346380530e+02,1.485132261443469126e+01
1.685075134793581810e+02,1.960038371762482257e+01
-1.762902006313209711e+02,2.354309107862516726e+01
7.775745353366463064e+01,1.735612589626486368e+01
4.291362288645166956e+01,1.784601819626069386e+01
7.288559676652616304e+01,1.923539348427466322e+01
5.213701065467099482e+01,2.010116938071476511e+01
6.275979466492007219e+01,1.471759050403996483e+01
5.624576053171334422e+01,2.540322793843625604e+01
6.469460718026965651e+01,1.504229085778679398e+01
6.482952003633579352e+01,1.850901656519466698e+01
7.171523401952828181e+01,1.296312629584691578e+01
8.571598195982561208e+01,2.863195227098906059e+01
-1.643144643231086377e+02,1.321420118926003973e+01
1.792528234966583511e+02,2.191184968812738987e+01
-1.759979059631177165e+02,2.299223391741443479e+01
1.653743327635194476e+02,2.778315372575338316e+01
-1.613403869486027702e+02,1.697204730541252005e+01
-1.385130776951177722e+02,3.075245773700557805e+01
1.604334989781321212e+02,1.445470316557213053e+01
1.723395603433904455e+02,1.243462978998688584e+01
-1.693941232725210000e+02,1.002261911812665929e+01
1.789897556337562037e+02,6.914979895613051042e+00
-1.768362556854546597e+02,2.345602823079381238e+01
1.699645657812773720e+02,2.129051183221211119e+01
-1.705697370809649556e+02,2.311303196698167994e+01
-1.631813347336046718e+02,1.899820333568804642e+01
1.697304234568838979e+02,1.845976749823653051e+01
